LotArea,OverallQual,YearBuilt,GrLivArea,TotBath,BedroomAbvGr,Fireplace,SalePrice
7407,6,1957,1236,2,2,No,149700
7740,4,1910,1363,1,3,No,125500
11340,4,1885,2290,2,4,No,122500
10560,6,1922,1470,1.5,2,No,140750
5830,5,1950,1612,1.5,3,No,128500
7793,7,1922,2068,1.5,3,Yes,209500
5000,4,1925,765,2,2,No,87000
6000,6,1939,1132,2,2,No,134000
6000,6,1940,1196,2,3,Yes,128000
6360,5,1942,1453,1.5,3,Yes,132000
6000,6,1948,1416,1.5,3,No,139900
6240,5,1936,1040,1,2,No,123900
6240,5,1930,1536,2,4,Yes,138400
6120,6,1923,1068,2,2,Yes,109500
10300,7,1921,1710,2,3,No,140000
8094,4,1915,1962,1.5,4,Yes,149500
12900,6,1912,1560,1.5,3,No,159900
3068,6,1920,1324,1.5,3,No,122000
8472,5,1963,816,2,2,No,110000
5600,4,1930,1092,2,3,No,55000
7630,5,1900,1812,2,4,Yes,140000
24090,7,1940,2403,2,4,Yes,244400
15263,5,1959,1675,2,3,Yes,173000
10632,5,1917,1224,1.5,3,No,107500
9900,5,1915,1392,2,3,No,100000
6001,6,1940,919,1,3,No,95000
6449,4,1907,1884,1.5,4,No,93369
6048,5,1910,1680,3,2,Yes,114900
6342,5,1875,1020,1,2,No,94000
10773,4,1967,1832,4,4,No,136000
10778,4,1968,1768,2,4,No,136500
11625,5,1965,1039,2.5,3,No,131500
11341,5,1957,1392,2.5,3,Yes,121500
8521,5,1967,912,1,3,Yes,125000
8246,5,1968,1060,2,3,Yes,154000
7800,5,1966,892,2,3,No,137900
9364,6,1969,1352,1.5,4,No,158000
7832,5,1968,864,2,2,No,137250
7424,5,1978,1373,2,3,Yes,160250
11227,5,1968,1440,1.5,4,Yes,163000
11616,6,1978,1386,2.5,3,Yes,158900
14000,7,1996,2260,3.5,3,No,328000
20062,7,1977,1483,2.5,1,Yes,270000
9259,4,1927,756,1,2,No,85000
9600,4,1950,1067,2,2,No,128000
23595,7,1979,1524,2.5,0,Yes,260000
17082,6,1978,1981,3.5,4,Yes,230000
18600,3,1938,1610,2.5,4,Yes,124000
10625,5,1920,835,1,2,No,83000
11479,6,1950,1074,2,3,Yes,144500
9571,5,1956,1144,2,3,No,129000
9350,4,1947,1531,1,3,Yes,127000
9525,5,1954,1172,2,3,No,128000
10420,6,2009,1212,2,3,No,186000
17485,7,2009,1508,2,1,Yes,308030
11200,5,1964,1298,2,3,No,114000
11100,4,1946,930,1,2,No,84900
9206,6,1985,1732,2.5,3,Yes,178000
11980,7,1987,1433,2.5,1,Yes,270000
12361,6,1993,1802,3,3,Yes,218000
9938,7,1993,1949,3.5,3,Yes,236000
9069,6,1992,996,2,2,No,147000
10475,8,2008,1694,2,3,No,245350
6762,7,2006,1208,3,2,No,206000
10402,7,2009,1226,2,3,No,198900
7360,7,2010,1222,2,2,No,187000
12376,7,1990,3222,4,5,Yes,320000
14235,6,1900,1445,2,3,No,138500
8816,6,1971,1052,2,3,No,155000
11105,5,1996,965,2,2,No,159000
9337,7,1997,1692,2.5,3,Yes,191000
8750,6,1998,1682,2.5,3,No,200500
15240,5,1977,1026,2.5,3,No,150000
10900,6,1977,1392,1.5,3,No,161750
10650,5,1976,894,2,3,No,128200
7480,5,1972,876,2,3,No,127000
10389,8,2003,1978,3.5,3,Yes,318000
11423,8,2001,1601,3,3,Yes,272000
9548,7,2003,1829,3.5,3,Yes,237000
9375,7,1997,2098,2.5,4,Yes,240000
12137,7,1998,1661,2,3,No,224900
4435,6,2003,848,2,1,No,143750
4426,6,2004,848,2,1,No,143000
10635,8,2003,1668,3,3,Yes,232000
8400,7,2004,1484,3,3,No,213000
8773,7,2004,1414,2,3,No,185500
8777,3,1945,640,1,2,No,84900
8842,5,1954,992,1,3,No,155891
9825,5,1965,1664,2,4,No,100000
10044,5,1968,1196,2,3,No,144000
11792,4,1948,1120,1,2,No,64000
6305,6,1975,1096,2,3,Yes,125200
7819,6,1976,1117,2,3,Yes,107000
6410,4,1958,960,1,3,No,90000
8546,4,2003,1121,2,2,No,140000
8741,6,1945,1487,1.5,3,Yes,113000
12180,4,1941,924,2,2,No,80000
8562,5,1957,1526,1,4,Yes,144500
4853,5,1924,1296,2,2,Yes,104000
6858,6,1915,1647,2.5,4,No,128000
8212,3,1914,864,2,2,No,58500
5000,5,1924,1691,2,3,Yes,127000
7890,6,1939,856,2,2,Yes,126000
7200,4,1967,2650,3,6,No,160000
9839,5,1931,1666,2,3,Yes,100000
9638,6,1919,2447,2,4,Yes,169000
10452,7,1941,2133,2.5,4,Yes,257500
15600,5,1950,2177,2.5,5,No,215000
9042,7,1941,2340,2,4,Yes,266500
17500,7,1959,1902,3,3,Yes,335000
19645,7,1994,1652,3.5,3,No,203135
3907,8,1989,1034,2,1,Yes,185000
3907,8,1989,1191,2,2,Yes,162500
15602,7,1959,1801,3,1,Yes,289000
5436,4,1922,1154,2,3,No,125500
8154,2,1941,540,1,1,No,82000
9140,6,1921,1107,1,2,No,110000
7500,4,1920,1128,1,2,No,68400
8712,4,1900,1178,1,2,No,102776
8712,5,1952,1044,1,2,No,55993
8712,4,1896,952,1,3,No,50138
3811,8,2004,1646,3.5,2,Yes,246000
11050,8,1998,1916,3.5,3,Yes,254900
9620,6,1977,1285,2.5,3,Yes,190000
9196,7,2003,1560,2,3,No,201000
12328,6,1976,1034,2,3,No,169900
12760,6,1976,2048,3,5,No,170000
57200,5,1948,1687,2,3,Yes,160000
11896,7,2008,1346,3,3,Yes,220000
9803,7,2009,1214,2,2,No,179781
9802,5,2006,1444,2.5,3,No,174000
12003,8,2009,1968,2.5,4,Yes,269500
11316,7,2002,1894,3.5,4,Yes,214900
14191,8,2002,1908,2.5,4,No,202900
13214,9,2008,2018,2,3,Yes,378500
15300,5,1965,1264,2,2,Yes,169000
10114,5,2004,1430,2,3,No,173500
9400,6,1971,1824,3,4,No,139000
11875,5,1999,1344,2,3,Yes,166500
1974,4,1973,1092,1.5,3,No,83500
2394,5,1973,945,2.5,2,Yes,119500
2592,5,1976,1112,1.5,3,No,85000
1476,4,1970,1092,1.5,3,No,76000
1491,4,1972,630,2,1,No,75500
1900,4,1970,1092,1.5,3,No,88250
1890,4,1972,1092,1.5,3,No,85500
6953,5,1971,874,1,3,No,130000
26142,5,1962,1188,1,3,No,157900
12887,5,1984,833,2,2,No,149900
7700,5,1985,2432,5,4,No,159000
10475,5,1991,1274,1.5,3,No,136000
10544,5,1969,1479,2,5,No,161000
9892,8,1994,1803,4,3,Yes,285000
12961,6,1993,1797,3.5,3,Yes,231000
13008,6,1956,882,1,2,No,124500
10200,6,1974,1434,3,4,Yes,157000
13860,8,1972,2704,3.5,4,Yes,345000
10179,6,1997,1608,2.5,3,Yes,189500
11792,8,2003,2283,2.5,4,Yes,270000
8400,7,1996,1628,2.5,3,Yes,189000
14892,9,2006,1746,3,3,Yes,377500
8530,7,1995,1474,2.5,3,Yes,168500
7296,8,2004,2522,3,1,Yes,375000
5664,8,2000,1659,3,2,Yes,278000
7380,8,1998,1478,3,2,No,240000
8013,8,1995,1734,3,2,No,239500
8923,7,1998,1382,2.5,3,Yes,177500
10141,7,1998,1718,2.5,3,Yes,185000
7500,6,1998,1636,3.5,3,Yes,191000
7837,6,1993,1571,2.5,3,Yes,178000
9765,6,1993,1470,2.5,3,Yes,185000
8803,6,1994,1516,3.5,3,Yes,181316
7250,6,1993,1190,2,3,Yes,166000
9636,6,1992,1593,2.5,3,Yes,178000
8125,6,1994,1481,2.5,3,Yes,174000
9248,6,1992,1167,3,3,No,173000
10762,7,1999,1983,2.5,3,Yes,225000
11851,7,1990,1442,2,3,No,180500
5814,8,1984,1360,2,1,Yes,187500
17423,9,2008,2234,3,1,Yes,501837
11844,8,2008,2046,2.5,3,Yes,372500
16158,7,2005,1530,3,3,Yes,260000
11900,5,1977,1934,3.5,3,Yes,185000
13005,7,1980,2353,3.5,4,Yes,260000
17043,6,1979,1586,2,3,Yes,181000
11900,7,1977,1411,2,3,Yes,82500
16635,6,1977,1602,2.5,3,Yes,215000
13250,7,1978,2050,2.5,4,Yes,154000
10928,6,1978,1671,2,3,Yes,200000
12388,7,1980,2673,2.5,4,Yes,249000
14115,7,1980,1472,3,3,Yes,187500
11088,6,1978,1707,2,3,Yes,184000
9600,8,1981,2524,3.5,4,Yes,278000
11880,7,1978,1601,2,3,Yes,157000
10400,7,1976,1370,2,3,Yes,152000
10304,5,1976,1868,3.5,4,Yes,197500
7000,7,2003,1884,3.5,3,Yes,240900
8004,8,2009,1935,3.5,3,No,263435
7500,8,2000,1874,2.5,3,Yes,220000
8470,8,2002,1811,2.5,3,Yes,235000
9373,5,1975,1621,3,3,Yes,213000
10140,6,1974,1116,3,3,Yes,167900
11050,7,1975,1193,2,3,Yes,158000
10140,6,1974,1350,2,3,Yes,165000
10448,6,1972,2119,2.5,3,Yes,158000
9000,5,1974,1792,3,4,No,136000
8750,5,1970,1002,2,3,No,148500
7930,6,1969,1026,2,3,No,156000
7830,5,1970,1180,1.5,2,No,128000
8510,5,1971,1050,2.5,3,No,143000
7038,4,1970,864,2,3,No,76500
6960,4,1970,864,1,3,No,120500
8120,4,1970,864,1,3,No,124500
10500,4,1971,864,1,2,No,97000
9000,4,1971,864,1,3,No,130000
1680,6,1973,987,2.5,2,No,111000
2368,5,1970,1365,1.5,3,No,125000
1680,5,1971,1302,2.5,3,No,112000
1680,6,1972,987,2.5,2,No,97000
1680,6,1972,987,1.5,2,No,118000
1680,5,1972,1302,2.5,3,No,119500
4928,6,1976,958,2,2,No,143750
2308,6,1976,1548,2.5,3,Yes,146000
2280,6,1976,1456,2.5,3,Yes,148500
2280,7,1975,1055,2.5,2,Yes,123000
2308,6,1974,1322,3,3,Yes,147000
2349,6,1977,1456,2.5,3,Yes,137900
2364,6,1978,1548,3,3,Yes,147000
2289,6,1978,1441,2.5,3,Yes,148500
2364,6,1978,1456,2.5,3,Yes,138000
2104,7,1976,836,1.5,2,No,128500
7150,5,1967,892,1,3,No,100000
10710,5,1966,1120,1.5,3,Yes,148800
12456,10,2006,1718,3,3,Yes,337500
14257,9,2007,2772,4.5,4,Yes,462000
13518,9,2008,3140,3.5,4,Yes,485000
15431,10,2008,2402,3,2,Yes,555000
13173,9,2006,1652,3,2,Yes,325000
14230,8,2007,1600,2,3,Yes,256300
12704,8,2008,2042,2.5,3,Yes,253293
12350,9,2009,2690,3.5,3,Yes,398800
11308,9,2008,2184,3.5,3,Yes,335000
12350,9,2008,2020,3,3,Yes,404000
12220,10,2009,2020,3.5,3,Yes,402861
13478,10,2008,2296,3.5,3,Yes,451950
13693,10,2007,2674,4.5,2,Yes,610000
13891,9,2008,2822,3.5,4,Yes,582933
11578,9,2008,1736,2,3,Yes,360000
16870,8,2004,1782,3,3,Yes,296000
23303,8,2007,2520,3.5,5,Yes,409900
11146,8,2006,1717,2,3,Yes,255500
10367,9,2008,1743,3,3,Yes,335000
9591,8,2004,1713,3,3,Yes,274900
10872,9,2006,1531,3,2,Yes,300000
13514,9,2008,1808,3,3,Yes,324000
8834,9,2004,2224,3.5,4,Yes,350000
11362,8,2004,1836,3,3,Yes,280000
10655,8,2003,1629,3,3,Yes,284000
12878,7,2003,1760,3,3,Yes,269500
9541,7,2009,1502,2,3,No,233170
13472,10,2003,2392,2,3,Yes,386250
15274,9,2003,2452,4,3,Yes,445000
13262,8,2003,2400,3.5,4,Yes,290000
9658,8,2006,1606,2,3,Yes,255900
6904,6,2005,1358,2,2,Yes,213000
5381,6,2005,1306,3,1,Yes,196000
5122,6,2005,1306,3,1,Yes,184500
10307,7,2007,1358,3,2,Yes,212500
5001,7,2007,1314,3,2,Yes,230000
14836,10,2004,2492,3.5,2,Yes,552000
15262,8,2003,2200,3.5,3,Yes,382500
7390,9,2008,1884,3,2,Yes,320000
6472,9,2008,1456,2,2,Yes,248500
16770,8,2002,1712,3,3,Yes,286500
6240,8,2006,1324,3,2,Yes,254000
3480,7,2003,1405,2,2,Yes,173000
2268,7,2003,1626,2,2,No,173000
10928,7,2005,1456,2.5,3,Yes,184000
8918,6,2005,1490,2.5,3,Yes,167800
12589,6,2005,1484,2.5,3,Yes,174000
11911,6,2005,1560,2.5,3,Yes,174000
3684,7,2007,1555,2,2,Yes,174000
3635,7,2007,1569,2.5,1,Yes,175900
3182,7,2005,1555,2,2,Yes,192500
3182,7,2005,1504,2,1,Yes,181000
3182,7,2005,1220,2,2,Yes,180000
3182,7,2005,1145,2,2,Yes,160200
7795,7,2004,1432,3.5,3,Yes,188500
8068,6,2002,2267,2.5,4,Yes,200000
9434,7,2004,1374,2.5,3,Yes,170000
7984,7,2004,1630,2.5,3,Yes,189500
7750,8,2002,1419,3.5,3,Yes,184100
10125,7,2004,1594,2.5,3,Yes,195500
8965,7,2003,1489,3.5,3,Yes,192000
8174,7,2003,1342,3.5,3,Yes,178000
5063,7,2007,1314,3,2,Yes,207500
8795,7,2000,2256,2.5,4,Yes,236000
12891,8,2002,2004,3.5,4,Yes,257500
12224,6,2000,2054,3.5,3,Yes,244000
9734,7,2004,1374,2.5,3,No,167000
8123,6,2000,1800,2.5,3,Yes,179000
8433,6,2000,1514,3.5,3,Yes,190000
7750,7,1999,1430,2.5,3,Yes,156000
15896,7,1999,2312,3.5,4,Yes,245000
24682,6,1999,1675,2.5,3,Yes,181000
8755,7,1999,2060,3.5,3,Yes,214000
7848,7,1999,1430,2.5,3,Yes,168000
9430,8,1999,2365,3.5,3,Yes,337000
15138,8,1995,2794,3.5,4,Yes,403000
12720,8,2000,2687,3.5,4,Yes,327000
16545,8,1998,2450,3.5,3,Yes,340000
12203,8,1998,2612,3.5,4,Yes,336000
10208,7,1996,2344,2.5,3,Yes,265000
10750,8,1994,2063,3,3,Yes,315000
9900,7,1993,2646,3.5,4,Yes,260000
9085,7,1995,2061,3.5,3,Yes,260000
11692,8,1993,2232,3.5,3,Yes,263550
46589,8,1994,2448,3.5,4,Yes,402000
29959,7,1994,1850,2.5,3,Yes,248000
9612,8,2008,1468,2,3,Yes,244600
11194,8,2008,1696,2,3,No,275000
10206,8,2008,1658,2.5,3,Yes,257500
9262,8,2008,1578,2,3,Yes,287090
10130,8,2007,1702,3,3,Yes,275500
9139,8,2006,1432,2,3,Yes,245000
9675,7,2005,1971,2.5,3,Yes,253000
11128,9,2005,2490,3,2,Yes,468000
8640,7,2009,1852,3.5,3,Yes,252678
9000,8,2008,1590,2.5,3,No,210000
7862,6,2009,1218,2,2,No,208300
7993,7,2008,1436,2,3,No,225000
8640,8,2009,1314,3,3,No,229456
8640,7,2008,1402,2,3,No,229800
12606,9,2007,1530,2,3,Yes,250000
9187,9,2009,1766,3.5,2,Yes,370878
7500,8,2006,1448,2,2,Yes,238500
11003,10,2008,2007,3.5,3,Yes,310000
10603,8,2006,1795,3.5,3,Yes,270000
10574,8,2005,1953,2.5,3,Yes,252000
8125,7,2006,1550,3,2,No,241000
8125,8,2008,1836,2,3,Yes,264500
10625,7,2006,1662,3,3,Yes,291000
9375,7,2003,2094,2.5,4,Yes,263000
7500,7,2004,1221,3,2,No,185000
8736,7,2003,1553,3,3,No,234500
8127,7,2003,1653,3.5,3,No,209000
9605,7,2007,1218,1.5,3,No,159000
7500,7,2006,1141,2.5,3,No,152000
7500,6,2004,1158,1.5,3,No,143500
10628,7,2004,1812,2.5,3,No,193000
10141,8,2004,1512,2,3,No,203000
10083,7,2003,1200,3,2,No,184900
13072,7,2004,1114,1.5,3,No,159000
13072,5,2004,1114,1.5,3,No,142000
12450,5,2003,1114,3,3,No,153000
7328,7,2008,1450,2,2,No,224243
11492,7,1996,2122,3.5,4,Yes,220000
10994,8,2005,1844,3,2,Yes,257000
8529,7,2001,1434,2,3,Yes,189000
7703,6,1992,1730,2.5,3,No,171500
10762,6,1980,1217,1.5,3,Yes,120000
7175,6,1990,1332,2,2,No,145000
9109,7,1994,1540,3.5,3,No,184000
10274,6,1986,1400,2.5,3,No,162000
8250,6,1981,1882,2,4,Yes,160000
8400,4,1950,841,1,2,No,82000
9000,6,1928,784,1,2,No,76000
9750,5,1962,980,2,3,No,110000
7064,5,1977,980,1,3,No,135000
8499,5,1961,864,2,3,No,141000
9079,5,1961,864,1,2,No,122000
9316,5,1965,1020,2,3,No,124100
7791,5,1963,912,2,3,No,129000
10000,5,1961,1144,2,3,Yes,131400
8281,5,1965,864,1,3,Yes,62383
7150,5,1962,912,1.5,3,No,123000
15676,8,1980,2014,3,2,Yes,275000
11949,7,1991,1755,3,3,Yes,235000
2880,7,2004,3005,2.5,3,Yes,280750
3951,6,2009,1224,2.5,2,No,164500
3000,6,2009,1224,2.5,2,No,173733
3830,6,2008,1726,2.5,2,Yes,222000
4217,6,2008,1256,2.5,1,Yes,195000
3230,6,1999,1471,2.5,3,No,172500
2998,6,2000,1512,3.5,2,No,180000
3768,7,1999,1452,3.5,3,No,156000
2645,8,1999,1739,3.5,3,No,172500
14694,8,1977,1694,3,2,Yes,318750
3782,8,1981,1226,2,1,Yes,211500
15417,7,1981,1740,1.5,2,No,241600
9600,8,1976,2499,2.5,4,Yes,180500
9991,4,1976,1620,3,3,Yes,150000
11700,6,1968,1556,1.5,4,No,154000
11717,6,1970,1442,2,2,Yes,185000
9156,6,1968,1489,2,3,Yes,185750
10382,7,1973,2090,3.5,3,Yes,200000
12732,7,1974,2067,2.5,3,Yes,206000
12936,6,1972,1395,2,3,Yes,162000
10400,6,1967,2640,2.5,5,Yes,256900
17871,6,1967,1724,2.5,3,Yes,197900
9600,5,1969,1336,2.5,3,Yes,163000
9000,6,1969,1216,2,3,No,113000
13774,7,1977,2288,2,4,Yes,230000
9650,6,1977,1334,2.5,2,Yes,167900
10140,7,1998,1680,3,3,Yes,213250
8400,8,2001,1665,3.5,3,No,227000
7130,5,1967,864,1.5,2,No,130000
9600,5,1967,1568,1.5,3,No,143000
9100,5,1965,925,1.5,2,No,117500
9600,7,1974,2061,3,4,Yes,168500
16500,6,1971,1320,2.5,3,Yes,172500
9790,6,1967,1342,2,3,Yes,161500
7436,4,1960,894,2,2,Yes,141500
8125,5,1959,864,1,3,No,118000
9100,6,1959,864,1,2,No,127500
9450,4,1957,1362,2,3,Yes,140000
13495,5,1956,1728,3,3,Yes,177625
11475,5,1958,1776,3,4,No,110000
10004,6,1964,1516,1.5,3,No,167000
9350,5,1961,1313,2.5,3,Yes,153000
10500,5,1964,1292,2.5,3,Yes,145100
11000,5,1966,1154,1.5,3,Yes,154000
8970,5,1965,2140,2.5,4,Yes,177500
12095,6,1964,1445,1.5,3,Yes,158000
9600,5,1959,1041,2,3,No,124500
11475,6,1961,1576,2,4,Yes,174500
9768,5,1955,960,2,2,No,122000
5330,4,1940,708,1,2,No,82500
7015,5,1950,1203,2,3,Yes,110000
12160,6,1953,1505,2,2,Yes,149500
9900,6,1967,1691,2,2,No,175000
9600,6,1953,1644,2,3,Yes,167000
9600,5,1956,1050,1,2,No,128900
9600,6,1950,1668,1.5,3,No,140000
9600,5,1950,1113,1,3,Yes,147000
8944,5,1967,1584,2,4,No,124000
10573,6,1961,1453,3,3,Yes,187500
9500,6,1963,1394,2.5,3,Yes,159000
14695,6,1966,1567,3,2,Yes,256000
13600,7,1965,1986,2.5,3,Yes,205000
13000,6,1968,2142,2.5,4,Yes,193500
13560,6,1968,1392,2,2,Yes,110000
12513,4,1920,1738,2,4,Yes,104900
8760,5,1956,1144,2,3,No,150000
8400,6,1957,1478,2.5,3,Yes,156500
12285,7,1960,1329,1.5,3,Yes,176000
9240,6,1959,988,3,3,No,149500
